timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597196989199,251,/-5,200,OK,线程组 1-1,text,true,,22147,384,1,1,http://www.weather.com.cn/,209,0,50
1597196989453,76,/c/weather2015/index/main_0814.css-6,200,OK,线程组 1-1,text,true,,11996,375,1,1,http://i.tq121.com.cn/c/weather2015/index/main_0814.css?2019092418,66,0,45
1597196989531,41,/-14,200,OK,线程组 1-1,text,true,,1131,423,1,1,http://ocsp.dcocsp.cn/,41,0,29
1597196989573,12,/-15,200,OK,线程组 1-1,text,true,,1085,423,1,1,http://ocsp.dcocsp.cn/,12,0,0
1597196989586,39,/-13,200,OK,线程组 1-1,text,true,,1095,423,1,1,http://ocsp.dcocsp.cn/,39,0,0
1597196989626,96,/j/weather2015/index/main_0814.js-12,200,OK,线程组 1-1,text,true,,43382,352,1,1,http://i.tq121.com.cn/j/weather2015/index/main_0814.js?827,49,0,0
1597196989722,27,/j/weather2014/rili.js-9,200,OK,线程组 1-1,text,true,,2261,345,1,1,http://i.tq121.com.cn/j/weather2014/rili.js?id=2015,26,0,0
1597196989749,15,/-7,200,OK,线程组 1-1,text,true,,1089,423,1,1,http://ocsp.dcocsp.cn/,15,0,0
1597196989765,39,/j/version.js-16,200,OK,线程组 1-1,text,true,,371,348,1,1,http://i.tq121.com.cn/j/version.js?0.10424433889098883,39,0,0
1597196989805,17,/i/ucenter/pc/email.png-20,200,OK,线程组 1-1,bin,true,,3570,349,1,1,http://i.tq121.com.cn/i/ucenter/pc/email.png,16,0,0
1597196989823,41,/gsorganizationvalsha2g2-17,200,OK,线程组 1-1,text,true,,2438,448,1,1,http://ocsp2.globalsign.com/gsorganizationvalsha2g2,41,0,25
1597196989866,153,/images/cn/photo/2020/06/30/202006301120352B492ADE7C8B8246242A6C222212AA02.jpg-21,200,OK,线程组 1-1,bin,true,,81114,408,1,1,http://pic.weather.com.cn/images/cn/photo/2020/06/30/202006301120352B492ADE7C8B8246242A6C222212AA02.jpg,52,0,13
1597196990020,159,/images/cn/photo/2020/06/30/20200630101447BD97BBBDBD443F778B1AF6318D1A4E3F.jpg-18,200,OK,线程组 1-1,bin,true,,101200,408,1,1,http://pic.weather.com.cn/images/cn/photo/2020/06/30/20200630101447BD97BBBDBD443F778B1AF6318D1A4E3F.jpg,63,0,0
1597196990180,41,/i/weather2015/user/my-head.png-22,200,OK,线程组 1-1,bin,true,,1917,357,1,1,http://i.tq121.com.cn/i/weather2015/user/my-head.png,41,0,0
1597196990222,70,/images/cn/photo/2020/06/29/202006291558495FED4CCE6554F6DEABDCAE608E25D7CF.jpg-30,200,OK,线程组 1-1,bin,true,,57171,408,1,1,http://pic.weather.com.cn/images/cn/photo/2020/06/29/202006291558495FED4CCE6554F6DEABDCAE608E25D7CF.jpg,22,0,0
1597196990294,233,/i//product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg-19,200,OK,线程组 1-1,text,true,,4301,857,1,1,http://www.weather.com.cn/other/weather_error_404.html?r=pi.weather.com.cn/i/product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg,156,0,69
1597196990294,156,/i//product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg-19-0,302,Moved Temporarily,线程组 1-1,text,true,,650,404,1,1,http://pi.weather.com.cn/i//product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg,156,0,69
1597196990451,76,/i//product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg-19-1,200,OK,线程组 1-1,text,true,,3651,453,1,1,http://www.weather.com.cn/other/weather_error_404.html?r=pi.weather.com.cn/i/product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg,72,0,0
1597196990528,86,/i//product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg-24,200,OK,线程组 1-1,text,true,,4295,859,1,1,http://www.weather.com.cn/other/weather_error_404.html?r=pi.weather.com.cn/i/product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg,72,0,0
1597196990528,72,/i//product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg-24-0,302,Moved Temporarily,线程组 1-1,text,true,,651,405,1,1,http://pi.weather.com.cn/i//product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg,72,0,0
1597196990601,13,/i//product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg-24-1,200,OK,线程组 1-1,text,true,,3644,454,1,1,http://www.weather.com.cn/other/weather_error_404.html?r=pi.weather.com.cn/i/product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg,12,0,0
1597196990614,112,/images/cn/photo/2020/06/30/20200630113608C19AD227CC9874180183DF25642DC4BF.jpg-29,200,OK,线程组 1-1,bin,true,,93826,408,1,1,http://pic.weather.com.cn/images/cn/photo/2020/06/30/20200630113608C19AD227CC9874180183DF25642DC4BF.jpg,16,0,0
